iso3_o,iso2_o,iso3_d,iso2_d,year,contig,comlang_off,comlang_ethno,comcol,col45,distw,pop_o,pop_d,gdp_o,gdp_d,gdpcap_o,gdpcap_d,area_o,area_d,tdiff,heg_o,heg_d,conflict,indepdate,col_to,col_fr,colony,curcol,sibling,cursib,empire,sever,sib_conflict,comcur,comrelig,comleg_pretrans,comleg_posttrans,transition_legalchange,legold_o,legold_d,legnew_o,legnew_d,gatt_o,gatt_d,pta_bb,fta_wto,fta_bb,fta_hmr,acp_to_eu,eu_to_acp,gsp_o_d,gsp_d_d,flaggsp_o_d,flaggsp_d_d,entry_cost_o,entry_cost_d,entry_proc_o,entry_proc_d,entry_time_o,entry_time_d,entry_tp_o,entry_tp_d,eu_o,eu_d
AUS,,GGY,,2005,0,1,,0,,15425,,0.066297,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUT,,GGY,,2005,0,0,,0,,1279,,0.066297,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,,GGY,,2005,0,0,,0,,517,,0.066297,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,,GGY,,2005,0,1,,0,,6343,,0.066297,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZE,,GGY,,2005,0,0,,0,,1299,,0.066297,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNK,,GGY,,2005,0,0,,0,,1107,,0.066297,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EST,,GGY,,2005,0,0,,0,,2049,,0.066297,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,,GGY,,2005,0,0,,0,,508,,0.066297,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU,,GGY,,2005,0,0,,0,,944,,0.066297,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRC,,GGY,,2005,0,0,,0,,2248,,0.066297,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUN,,GGY,,2005,0,0,,0,,1649,,0.066297,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISL,,GGY,,2005,0,0,,0,,1975,,0.066297,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRL,,GGY,,2005,0,1,,0,,541,,0.066297,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,,GGY,,2005,0,0,,0,,1446,,0.066297,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,,GGY,,2005,0,0,,0,,9748,,0.066297,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOR,,GGY,,2005,0,0,,0,,9348,,0.066297,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LVA,,GGY,,2005,0,0,,0,,1975,,0.066297,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LUX,,GGY,,2005,0,0,,0,,620,,0.066297,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NLD,,GGY,,2005,0,0,,0,,628,,0.066297,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZL,,GGY,,2005,0,1,,0,,19063,,0.066297,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOR,,GGY,,2005,0,0,,0,,1410,,0.066297,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POL,,GGY,,2005,0,0,,0,,1550,,0.066297,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVK,,GGY,,2005,0,0,,0,,1621,,0.066297,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVN,,GGY,,2005,0,0,,0,,1361,,0.066297,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,,GGY,,2005,0,0,,0,,1006,,0.066297,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWE,,GGY,,2005,0,0,,0,,1792,,0.066297,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBR,,GGY,,2005,0,1,,0,,660,,0.066297,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,,GGY,,2005,0,1,,0,,7183,,0.066297,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,,JEY,,2005,0,1,,0,,15425,,0.098069,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUT,,JEY,,2005,0,0,,0,,1279,,0.098069,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,,JEY,,2005,0,0,,0,,517,,0.098069,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,,JEY,,2005,0,1,,0,,6343,,0.098069,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZE,,JEY,,2005,0,0,,0,,1299,,0.098069,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNK,,JEY,,2005,0,0,,0,,1107,,0.098069,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EST,,JEY,,2005,0,0,,0,,2049,,0.098069,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,,JEY,,2005,0,0,,0,,508,,0.098069,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU,,JEY,,2005,0,0,,0,,944,,0.098069,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRC,,JEY,,2005,0,0,,0,,2248,,0.098069,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUN,,JEY,,2005,0,0,,0,,1649,,0.098069,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISL,,JEY,,2005,0,0,,0,,1975,,0.098069,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRL,,JEY,,2005,0,1,,0,,541,,0.098069,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,,JEY,,2005,0,0,,0,,1446,,0.098069,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,,JEY,,2005,0,0,,0,,9748,,0.098069,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOR,,JEY,,2005,0,0,,0,,9348,,0.098069,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LVA,,JEY,,2005,0,0,,0,,1975,,0.098069,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LUX,,JEY,,2005,0,0,,0,,620,,0.098069,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NLD,,JEY,,2005,0,0,,0,,628,,0.098069,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZL,,JEY,,2005,0,1,,0,,19063,,0.098069,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOR,,JEY,,2005,0,0,,0,,1410,,0.098069,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POL,,JEY,,2005,0,0,,0,,1550,,0.098069,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVK,,JEY,,2005,0,0,,0,,1621,,0.098069,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVN,,JEY,,2005,0,0,,0,,1361,,0.098069,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,,JEY,,2005,0,0,,0,,1006,,0.098069,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWE,,JEY,,2005,0,0,,0,,1792,,0.098069,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBR,,JEY,,2005,0,1,,0,,660,,0.098069,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,,JEY,,2005,0,1,,0,,7183,,0.098069,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,,IMN,,2005,0,1,,0,,15343,,0.088195,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUT,,IMN,,2005,0,0,,0,,1528,,0.088195,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,,IMN,,2005,0,0,,0,,739,,0.088195,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,,IMN,,2005,0,1,,0,,5857,,0.088195,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZE,,IMN,,2005,0,0,,0,,1450,,0.088195,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNK,,IMN,,2005,0,0,,0,,917,,0.088195,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EST,,IMN,,2005,0,0,,0,,1866,,0.088195,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,,IMN,,2005,0,0,,0,,1012,,0.088195,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU,,IMN,,2005,0,0,,0,,1065,,0.088195,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRC,,IMN,,2005,0,0,,0,,2601,,0.088195,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUN,,IMN,,2005,0,0,,0,,1857,,0.088195,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISL,,IMN,,2005,0,0,,0,,1438,,0.088195,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRL,,IMN,,2005,0,1,,0,,240,,0.088195,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,,IMN,,2005,0,0,,0,,1865,,0.088195,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,,IMN,,2005,0,0,,0,,9356,,0.088195,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOR,,IMN,,2005,0,0,,0,,9011,,0.088195,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LVA,,IMN,,2005,0,0,,0,,1844,,0.088195,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LUX,,IMN,,2005,0,0,,0,,880,,0.088195,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NLD,,IMN,,2005,0,0,,0,,696,,0.088195,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZL,,IMN,,2005,0,1,,0,,18552,,0.088195,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOR,,IMN,,2005,0,0,,0,,1042,,0.088195,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POL,,IMN,,2005,0,0,,0,,1042,,0.088195,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVK,,IMN,,2005,0,0,,0,,1781,,0.088195,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVN,,IMN,,2005,0,0,,0,,1649,,0.088195,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,,IMN,,2005,0,0,,0,,1534,,0.088195,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWE,,IMN,,2005,0,0,,0,,1534,,0.088195,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBR,,IMN,,2005,0,1,,0,,145,,0.088195,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,,IMN,,2005,0,1,,0,,6826,,0.088195,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,,LIE,,2005,0,0,,0,,14606,,0.037937,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUT,,LIE,,2005,1,1,,0,,378,,0.037937,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,,LIE,,2005,0,0,,0,,525,,0.037937,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,,LIE,,2005,0,0,,0,,7088,,0.037937,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZE,,LIE,,2005,0,0,,0,,526,,0.037937,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNK,,LIE,,2005,0,0,,0,,1012,,0.037937,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EST,,LIE,,2005,0,0,,0,,1634,,0.037937,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,,LIE,,2005,0,0,,0,,569,,0.037937,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU,,LIE,,2005,0,1,,0,,449,,0.037937,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRC,,LIE,,2005,0,0,,0,,1340,,0.037937,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUN,,LIE,,2005,0,0,,0,,752,,0.037937,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISL,,LIE,,2005,0,0,,0,,2615,,0.037937,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRL,,LIE,,2005,0,0,,0,,1393,,0.037937,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,,LIE,,2005,0,0,,0,,635,,0.037937,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,,LIE,,2005,0,0,,0,,9442,,0.037937,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOR,,LIE,,2005,0,0,,0,,8930,,0.037937,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LVA,,LIE,,2005,0,0,,0,,1487,,0.037937,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LUX,,LIE,,2005,0,1,,0,,388,,0.037937,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NLD,,LIE,,2005,0,0,,0,,632,,0.037937,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZL,,LIE,,2005,0,0,,0,,18675,,0.037937,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOR,,LIE,,2005,0,0,,0,,1482,,0.037937,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POL,,LIE,,2005,0,0,,0,,870,,0.037937,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVK,,LIE,,2005,0,0,,0,,774,,0.037937,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVN,,LIE,,2005,0,0,,0,,430,,0.037937,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,,LIE,,2005,0,0,,0,,1300,,0.037937,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWE,,LIE,,2005,0,0,,0,,1559,,0.037937,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBR,,LIE,,2005,0,0,,0,,1282,,0.037937,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,,LIE,,2005,0,0,,0,,8079,,0.037937,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,,BES,,2005,0,1,,0,,17303,,0.018905,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUT,,BES,,2005,0,0,,0,,8483,,0.018905,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,,BES,,2005,0,1,,0,,7754,,0.018905,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,,BES,,2005,0,1,,0,,5884,,0.018905,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZE,,BES,,2005,0,0,,0,,8536,,0.018905,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNK,,BES,,2005,0,0,,0,,8137,,0.018905,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EST,,BES,,2005,0,0,,0,,9050,,0.018905,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,,BES,,2005,0,0,,0,,7542,,0.018905,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU,,BES,,2005,0,0,,0,,8178,,0.018905,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRC,,BES,,2005,0,0,,0,,9173,,0.018905,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUN,,BES,,2005,0,0,,0,,8858,,0.018905,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISL,,BES,,2005,0,0,,0,,6960,,0.018905,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRL,,BES,,2005,0,1,,0,,6990,,0.018905,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,,BES,,2005,0,0,,0,,8360,,0.018905,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,,BES,,2005,0,0,,0,,13975,,0.018905,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOR,,BES,,2005,0,0,,0,,14426,,0.018905,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LVA,,BES,,2005,0,0,,0,,9057,,0.018905,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LUX,,BES,,2005,0,0,,0,,7866,,0.018905,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NLD,,BES,,2005,0,1,,0,,7828,,0.018905,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
